NameCircuit,CurrentValue_inA,BHN,BHS,BHW
BHZmain,2282.937,0.2442742591,0.2442742591,0.2442742591
BHZtrim,4.34,,,0.00046438009999999995
trim0506,-2.273,-0.0002432109,,
trim0809,6.758,,,0.0007231061
trim1112,1.719,0.0001839331,,
trim1718,-3.862,-0.00041323390000000003,,
trim2021,9.9,,,0.0010593001
trim2324,0.589,6.302309999999999e-05,,
trim3334,6.733,0.0007204311,,
trim3637,7.273,,,0.0007782111
trim3940,-5.514,-0.0005899979,,
trim4546,6.545,0.0007003151,,
trim4849,9.9,,,0.0010593001
trim5152,-8.653,,-0.0009258709,
